"ï»¿""CustomerID",Age,Gender,City,AnnualIncome,TotalSpent,MonthlyPurchases,AvgOrderValue,AppTimeMinutes,DiscountUsage,PreferredShoppingTime,Cluster,Segment
C035,22,M,Delhi,180000.0,20000,1,1000,6.0,High,Day,0,High-Value Loyal Customer
C036,54,F,Chennai,900000.0,500000,14,7200,100.0,Medium,Night,2,Price-Sensitive Occasional Customer
C037,41,M,Kolkata,480000.0,160000,6,2600,52.0,Medium,Day,1,Value-Seeking Regular Customer
C038,33,F,Bangalore,610000.0,270000,10,3200,75.0,Low,Night,1,Value-Seeking Regular Customer
C039,46,M,Pune,1000000.0,650000,16,9800,115.0,Low,Night,2,Price-Sensitive Occasional Customer
C040,27,F,Hyderabad,430000.0,130000,5,2300,42.0,Medium,Day,0,High-Value Loyal Customer
C042,31,F,Delhi,520000.0,210000,8,2800,63.0,Medium,Day,1,Value-Seeking Regular Customer
C043,38,M,Chennai,670000.0,330000,11,4500,78.0,Medium,Night,1,Value-Seeking Regular Customer
C044,44,F,Bangalore,760000.0,390000,12,5400,88.0,Medium,Day,1,Value-Seeking Regular Customer
C045,25,M,Kolkata,210000.0,35000,2,1300,12.0,High,Day,0,High-Value Loyal Customer
C046,36,M,Bangalore,680000.0,320000,10,4500,78.0,Medium,Night,1,Value-Seeking Regular Customer
C047,29,F,Pune,410000.0,140000,5,2300,48.0,Medium,Day,0,High-Value Loyal Customer
C049,43,F,Delhi,590000.0,260000,9,3100,70.0,Medium,Day,1,Value-Seeking Regular Customer
C050,24,M,Hyderabad,260000.0,40000,2,1500,14.0,High,Day,0,High-Value Loyal Customer
C051,34,F,Chennai,720000.0,350000,11,4800,82.0,Medium,Night,1,Value-Seeking Regular Customer
C052,46,M,Kolkata,310000.0,85000,3,1900,28.0,High,Day,0,High-Value Loyal Customer
C053,38,F,Bangalore,850000.0,460000,13,6200,95.0,Medium,Night,1,Value-Seeking Regular Customer
C055,27,F,Pune,440000.0,155000,6,2500,52.0,Medium,Day,0,High-Value Loyal Customer
C056,41,M,Delhi,640000.0,290000,10,3600,74.0,Medium,Day,1,Value-Seeking Regular Customer
C057,32,F,Hyderabad,520000.0,210000,8,2700,65.0,Medium,Night,1,Value-Seeking Regular Customer
C058,48,M,Chennai,980000.0,610000,16,9200,120.0,Low,Night,2,Price-Sensitive Occasional Customer
C059,22,F,Bangalore,190000.0,30000,1,1200,9.0,High,Day,0,High-Value Loyal Customer
C060,37,M,Mumbai,780000.0,400000,12,5600,90.0,Medium,Night,1,Value-Seeking Regular Customer
C061,44,F,Kolkata,360000.0,100000,4,2200,35.0,High,Day,0,High-Value Loyal Customer
C062,31,M,Pune,560000.0,240000,9,2900,68.0,Medium,Day,1,Value-Seeking Regular Customer
C063,53,F,Delhi,880000.0,520000,14,7400,105.0,Medium,Night,2,Price-Sensitive Occasional Customer
C064,28,M,Hyderabad,450000.0,160000,6,2600,54.0,Medium,Day,0,High-Value Loyal Customer
C065,39,F,Bangalore,930000.0,580000,15,8200,110.0,Low,Night,2,Price-Sensitive Occasional Customer
C066,47,M,Chennai,1200000.0,780000,18,11500,135.0,Low,Night,2,Price-Sensitive Occasional Customer
C067,26,F,Mumbai,420000.0,130000,5,2400,46.0,Medium,Day,0,High-Value Loyal Customer
C068,35,M,Kolkata,510000.0,200000,7,2800,60.0,Medium,Day,1,Value-Seeking Regular Customer
C069,58,F,Delhi,760000.0,420000,12,6000,88.0,Medium,Day,2,Price-Sensitive Occasional Customer
C070,33,M,Pune,600000.0,270000,9,3200,72.0,Medium,Night,1,Value-Seeking Regular Customer
C071,45,F,Hyderabad,680000.0,340000,11,4600,80.0,Medium,Day,1,Value-Seeking Regular Customer
C072,29,M,Bangalore,470000.0,180000,7,2600,58.0,Medium,Night,0,High-Value Loyal Customer
C074,41,F,Chennai,690000.0,360000,12,5000,85.0,Medium,Day,1,Value-Seeking Regular Customer
C075,23,M,Delhi,210000.0,35000,2,1400,12.0,High,Day,0,High-Value Loyal Customer
C076,36,F,Pune,620000.0,280000,9,3100,70.0,Medium,Day,1,Value-Seeking Regular Customer
C077,49,M,Bangalore,1050000.0,700000,17,10200,130.0,Low,Night,2,Price-Sensitive Occasional Customer
C078,34,F,Hyderabad,540000.0,230000,8,2900,66.0,Medium,Day,1,Value-Seeking Regular Customer
C079,57,M,Kolkata,330000.0,90000,3,1800,25.0,High,Day,0,High-Value Loyal Customer
C080,27,F,Mumbai,480000.0,170000,6,2600,50.0,Medium,Night,0,High-Value Loyal Customer
C081,42,M,Delhi,720000.0,390000,13,5300,92.0,Medium,Day,1,Value-Seeking Regular Customer
C082,31,F,Chennai,560000.0,250000,9,3000,69.0,Medium,Day,1,Value-Seeking Regular Customer
C083,54,F,Bangalore,870000.0,540000,14,7600,108.0,Medium,Night,2,Price-Sensitive Occasional Customer
C084,38,M,Pune,650000.0,310000,10,4200,76.0,Medium,Day,1,Value-Seeking Regular Customer
C085,25,F,Hyderabad,230000.0,45000,2,1500,16.0,High,Day,0,High-Value Loyal Customer
C086,47,M,Mumbai,1250000.0,850000,19,12500,145.0,Low,Night,2,Price-Sensitive Occasional Customer
C087,33,F,Delhi,580000.0,260000,9,3200,71.0,Medium,Day,1,Value-Seeking Regular Customer
C089,40,F,Kolkata,460000.0,190000,7,2700,55.0,Medium,Day,1,Value-Seeking Regular Customer
C090,28,M,Bangalore,490000.0,185000,7,2650,57.0,Medium,Night,0,High-Value Loyal Customer
C091,52,F,Pune,710000.0,400000,12,5600,86.0,Medium,Day,1,Value-Seeking Regular Customer
C092,35,M,Hyderabad,610000.0,280000,9,3300,73.0,Medium,Night,1,Value-Seeking Regular Customer
C093,44,M,Delhi,820000.0,470000,14,6700,98.0,Medium,Day,2,Price-Sensitive Occasional Customer
C094,26,F,Mumbai,450000.0,150000,5,2500,48.0,Medium,Night,0,High-Value Loyal Customer
C095,48,F,Chennai,950000.0,620000,16,9000,118.0,Low,Night,2,Price-Sensitive Occasional Customer
C096,32,M,Kolkata,520000.0,210000,8,2800,64.0,Medium,Day,1,Value-Seeking Regular Customer
C098,37,F,Pune,590000.0,260000,9,3100,69.0,Medium,Day,1,Value-Seeking Regular Customer
C099,24,M,Delhi,200000.0,30000,1,1200,10.0,High,Day,0,High-Value Loyal Customer
C100,46,F,Hyderabad,880000.0,520000,14,7400,68.0,,,2,Price-Sensitive Occasional Customer
